Bulge+Disk Morphological Measurements & Photometry
Click to expand
Column Name	Description
flux_model_disk_hsc-i	Disk component model flux [microJy]
flux_model_disk_hsc-z	Disk component model flux [microJy]
flux_model_disk_hsc-y	Disk component model flux [microJy]
flux_model_disk_hsc-nb0816	Disk component model flux [microJy]
flux_model_disk_hsc-nb0921	Disk component model flux [microJy]
flux_model_disk_hsc-nb1010	Disk component model flux [microJy]
flux_model_disk_uvista-y	Disk component model flux [microJy]
flux_model_disk_uvista-j	Disk component model flux [microJy]
flux_model_disk_uvista-h	Disk component model flux [microJy]
flux_model_disk_uvista-ks	Disk component model flux [microJy]
flux_model_disk_sc-ia484	Disk component model flux [microJy]
flux_model_disk_sc-ia527	Disk component model flux [microJy]
flux_model_disk_sc-ia624	Disk component model flux [microJy]
flux_model_disk_sc-ia679	Disk component model flux [microJy]
flux_model_disk_sc-ia738	Disk component model flux [microJy]
flux_model_disk_sc-ia767	Disk component model flux [microJy]
flux_model_disk_sc-ib427	Disk component model flux [microJy]
flux_model_disk_sc-ib505	Disk component model flux [microJy]
flux_model_disk_sc-ib574	Disk component model flux [microJy]
flux_model_disk_sc-ib709	Disk component model flux [microJy]
flux_model_disk_sc-ib827	Disk component model flux [microJy]
flux_model_disk_sc-nb711	Disk component model flux [microJy]
flux_model_disk_sc-nb816	Disk component model flux [microJy]
flux_err_model_disk_hst-f814w	Disk component model flux error [microJy]
flux_err_model_disk_f770w	Disk component model flux error [microJy]
flux_err_model_disk_cfht-u	Disk component model flux error [microJy]
flux_err_model_disk_hsc-g	Disk component model flux error [microJy]
flux_err_model_disk_hsc-r	Disk component model flux error [microJy]
flux_err_model_disk_hsc-i	Disk component model flux error [microJy]
flux_err_model_disk_hsc-z	Disk component model flux error [microJy]
flux_err_model_disk_hsc-y	Disk component model flux error [microJy]
flux_err_model_disk_hsc-nb0816	Disk component model flux error [microJy]
flux_err_model_disk_hsc-nb0921	Disk component model flux error [microJy]
flux_err_model_disk_hsc-nb1010	Disk component model flux error [microJy]
flux_err_model_disk_uvista-y	Disk component model flux error [microJy]
flux_err_model_disk_uvista-j	Disk component model flux error [microJy]
flux_err_model_disk_uvista-h	Disk component model flux error [microJy]
flux_err_model_disk_uvista-ks	Disk component model flux error [microJy]
flux_err_model_disk_sc-ia484	Disk component model flux error [microJy]
flux_err_model_disk_sc-ia527	Disk component model flux error [microJy]
flux_err_model_disk_sc-ia624	Disk component model flux error [microJy]
flux_err_model_disk_sc-ia679	Disk component model flux error [microJy]
flux_err_model_disk_sc-ia738	Disk component model flux error [microJy]
flux_err_model_disk_sc-ia767	Disk component model flux error [microJy]
flux_err_model_disk_sc-ib427	Disk component model flux error [microJy]
flux_err_model_disk_sc-ib505	Disk component model flux error [microJy]
flux_err_model_disk_sc-ib574	Disk component model flux error [microJy]
flux_err_model_disk_sc-ib709	Disk component model flux error [microJy]
flux_err_model_disk_sc-ib827	Disk component model flux error [microJy]
flux_err_model_disk_sc-nb711	Disk component model flux error [microJy]
flux_err_model_disk_sc-nb816	Disk component model flux error [microJy]
b/t_hst-f814w	Bulge-to-total ratio
b/t_f770w	Bulge-to-total ratio
b/t_cfht-u	Bulge-to-total ratio
b/t_hsc-g	Bulge-to-total ratio
b/t_hsc-r	Bulge-to-total ratio
b/t_hsc-i	Bulge-to-total ratio
b/t_hsc-z	Bulge-to-total ratio
b/t_hsc-y	Bulge-to-total ratio
b/t_hsc-nb0816	Bulge-to-total ratio
b/t_hsc-nb0921	Bulge-to-total ratio
b/t_hsc-nb1010	Bulge-to-total ratio
b/t_uvista-y	Bulge-to-total ratio
b/t_uvista-j	Bulge-to-total ratio
b/t_uvista-h	Bulge-to-total ratio
b/t_uvista-ks	Bulge-to-total ratio
b/t_sc-ia484	Bulge-to-total ratio
b/t_sc-ia527	Bulge-to-total ratio
b/t_sc-ia624	Bulge-to-total ratio
b/t_sc-ia679	Bulge-to-total ratio
b/t_sc-ia738	Bulge-to-total ratio
b/t_sc-ia767	Bulge-to-total ratio
b/t_sc-ib427	Bulge-to-total ratio
b/t_sc-ib505	Bulge-to-total ratio
b/t_sc-ib574	Bulge-to-total ratio
b/t_sc-ib709	Bulge-to-total ratio
b/t_sc-ib827	Bulge-to-total ratio
b/t_sc-nb711	Bulge-to-total ratio
b/t_sc-nb816	Bulge-to-total ratio
b/t_err_hst-f814w	Bulge-to-total ratio error
b/t_err_f770w	Bulge-to-total ratio error
b/t_err_cfht-u	Bulge-to-total ratio error
b/t_err_hsc-g	Bulge-to-total ratio error
b/t_err_hsc-r	Bulge-to-total ratio error
b/t_err_hsc-i	Bulge-to-total ratio error
b/t_err_hsc-z	Bulge-to-total ratio error
b/t_err_hsc-y	Bulge-to-total ratio error
b/t_err_hsc-nb0816	Bulge-to-total ratio error
b/t_err_hsc-nb0921	Bulge-to-total ratio error
b/t_err_hsc-nb1010	Bulge-to-total ratio error
b/t_err_uvista-y	Bulge-to-total ratio error
b/t_err_uvista-j	Bulge-to-total ratio error
b/t_err_uvista-h	Bulge-to-total ratio error
b/t_err_uvista-ks	Bulge-to-total ratio error
b/t_err_sc-ia484	Bulge-to-total ratio error
b/t_err_sc-ia527	Bulge-to-total ratio error
b/t_err_sc-ia624	Bulge-to-total ratio error
b/t_err_sc-ia679	Bulge-to-total ratio error
b/t_err_sc-ia738	Bulge-to-total ratio error
b/t_err_sc-ia767	Bulge-to-total ratio error
b/t_err_sc-ib427	Bulge-to-total ratio error
b/t_err_sc-ib505	Bulge-to-total ratio error
b/t_err_sc-ib574	Bulge-to-total ratio error
b/t_err_sc-ib709	Bulge-to-total ratio error
b/t_err_sc-ib827	Bulge-to-total ratio error
b/t_err_sc-nb711	Bulge-to-total ratio error
b/t_err_sc-nb816	Bulge-to-total ratio error
